QP/JOB ROLE NAME,EMBEDDING_PATH
Coconut Grower cum Primary Processor,./utils/embeddings/PMKVY_JobRoles/data/Coconut Grower cum Primary Processor.pt
Cocoon tester cum purchaser- Textile MSME,./utils/embeddings/PMKVY_JobRoles/data/Cocoon tester cum purchaser- Textile MSME.pt
Coffee Plantation Worker,./utils/embeddings/PMKVY_JobRoles/data/Coffee Plantation Worker.pt
Cold Storage Technician,./utils/embeddings/PMKVY_JobRoles/data/Cold Storage Technician.pt
Combing Operator,./utils/embeddings/PMKVY_JobRoles/data/Combing Operator.pt
Combing Preparatory Operator,./utils/embeddings/PMKVY_JobRoles/data/Combing Preparatory Operator.pt
Commis Electives- Pastry-Bakery Commis,./utils/embeddings/PMKVY_JobRoles/data/Commis Electives- Pastry-Bakery Commis.pt
Community Journalist,./utils/embeddings/PMKVY_JobRoles/data/Community Journalist.pt
Compactor Operator,./utils/embeddings/PMKVY_JobRoles/data/Compactor Operator.pt
Compositor,./utils/embeddings/PMKVY_JobRoles/data/Compositor.pt
Compressor Operator,./utils/embeddings/PMKVY_JobRoles/data/Compressor Operator.pt
Concrete Pump Operator,./utils/embeddings/PMKVY_JobRoles/data/Concrete Pump Operator.pt
Cone Winder-cum-Pirn Winder,./utils/embeddings/PMKVY_JobRoles/data/Cone Winder-cum-Pirn Winder.pt
Cone Winding Operator-Manual & Assembly Winding,./utils/embeddings/PMKVY_JobRoles/data/Cone Winding Operator-Manual & Assembly Winding.pt
Consignment Booking Assistant,./utils/embeddings/PMKVY_JobRoles/data/Consignment Booking Assistant.pt
Consignment Tracking Executive,./utils/embeddings/PMKVY_JobRoles/data/Consignment Tracking Executive.pt
Construction Electrician-LV,./utils/embeddings/PMKVY_JobRoles/data/Construction Electrician-LV.pt
Construction Painter & Decorator,./utils/embeddings/PMKVY_JobRoles/data/Construction Painter & Decorator.pt
Construction Technician-Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/Construction Technician-Wind Power Plant.pt
Consultant Network Security,./utils/embeddings/PMKVY_JobRoles/data/Consultant Network Security.pt
Consumer Energy Meter Technician,./utils/embeddings/PMKVY_JobRoles/data/Consumer Energy Meter Technician.pt
Core Blockchain Developer,./utils/embeddings/PMKVY_JobRoles/data/Core Blockchain Developer.pt
Correspondent,./utils/embeddings/PMKVY_JobRoles/data/Correspondent.pt
Cottage Cheese Maker,./utils/embeddings/PMKVY_JobRoles/data/Cottage Cheese Maker.pt
Cotton Cultivator,./utils/embeddings/PMKVY_JobRoles/data/Cotton Cultivator.pt
Counter Sales Executive- Tourism & Hospitality,./utils/embeddings/PMKVY_JobRoles/data/Counter Sales Executive- Tourism & Hospitality.pt
Courier Delivery Executive,./utils/embeddings/PMKVY_JobRoles/data/Courier Delivery Executive.pt
Course on Computer Concepts,./utils/embeddings/PMKVY_JobRoles/data/Course on Computer Concepts.pt
Craft Baker(v3),./utils/embeddings/PMKVY_JobRoles/data/Craft Baker(v3).pt
Crawler Crane Operator,./utils/embeddings/PMKVY_JobRoles/data/Crawler Crane Operator.pt
Credit Processing Officer,./utils/embeddings/PMKVY_JobRoles/data/Credit Processing Officer.pt
Crochet Lace Tailor,./utils/embeddings/PMKVY_JobRoles/data/Crochet Lace Tailor.pt
Customer care Executive Non Voice (Divyangjan)-LD,./utils/embeddings/PMKVY_JobRoles/data/Customer care Executive Non Voice (Divyangjan)-LD.pt
Customer Care Executive-Domestic- Non- Voice,./utils/embeddings/PMKVY_JobRoles/data/Customer Care Executive-Domestic- Non- Voice.pt
Customer Care Executive-Domestic- Voice,./utils/embeddings/PMKVY_JobRoles/data/Customer Care Executive-Domestic- Voice.pt
Customer Care Executive,./utils/embeddings/PMKVY_JobRoles/data/Customer Care Executive.pt
Customer Service Executive - Elective 1 (Meet and Greet officer),./utils/embeddings/PMKVY_JobRoles/data/Customer Service Executive - Elective 1 (Meet and Greet officer).pt
Cutter - Goods and Garments,./utils/embeddings/PMKVY_JobRoles/data/Cutter - Goods and Garments.pt
Cutter- Footwear,./utils/embeddings/PMKVY_JobRoles/data/Cutter- Footwear.pt
Cyber Security Assistant,./utils/embeddings/PMKVY_JobRoles/data/Cyber Security Assistant.pt
Cyber Security Associate,./utils/embeddings/PMKVY_JobRoles/data/Cyber Security Associate.pt
Dairy Farmer-Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Dairy Farmer-Entrepreneur.pt
Dancer,./utils/embeddings/PMKVY_JobRoles/data/Dancer.pt
DAS Set Top Box Installation & Service Technician,./utils/embeddings/PMKVY_JobRoles/data/DAS Set Top Box Installation & Service Technician.pt
Data Annotator,./utils/embeddings/PMKVY_JobRoles/data/Data Annotator.pt
Data Entry Operator (Divyangjan)-LD,./utils/embeddings/PMKVY_JobRoles/data/Data Entry Operator (Divyangjan)-LD.pt
Data Feeder – Warehouse,./utils/embeddings/PMKVY_JobRoles/data/Data Feeder – Warehouse.pt
DCS Programmer and Troubleshooter,./utils/embeddings/PMKVY_JobRoles/data/DCS Programmer and Troubleshooter.pt
Debt Recovery Agent,./utils/embeddings/PMKVY_JobRoles/data/Debt Recovery Agent.pt
Designer Plastic Products including toys,./utils/embeddings/PMKVY_JobRoles/data/Designer Plastic Products including toys.pt
Desludging Operator,./utils/embeddings/PMKVY_JobRoles/data/Desludging Operator.pt
DevOps Engineer,./utils/embeddings/PMKVY_JobRoles/data/DevOps Engineer.pt
Diamond Assorter,./utils/embeddings/PMKVY_JobRoles/data/Diamond Assorter.pt
Die Attach and Wire Bonding Engineer,./utils/embeddings/PMKVY_JobRoles/data/Die Attach and Wire Bonding Engineer.pt
Digital Agriculture Extension Promoter,./utils/embeddings/PMKVY_JobRoles/data/Digital Agriculture Extension Promoter.pt
Digital Cable Technician - Access,./utils/embeddings/PMKVY_JobRoles/data/Digital Cable Technician - Access.pt
Direct Seller,./utils/embeddings/PMKVY_JobRoles/data/Direct Seller.pt
Disrtibution Network Helper,./utils/embeddings/PMKVY_JobRoles/data/Disrtibution Network Helper.pt
Distributor Sales Representative,./utils/embeddings/PMKVY_JobRoles/data/Distributor Sales Representative.pt
Distributor Salesman,./utils/embeddings/PMKVY_JobRoles/data/Distributor Salesman.pt
Domestic Biometric Data Operator,./utils/embeddings/PMKVY_JobRoles/data/Domestic Biometric Data Operator.pt
Domestic IT Helpdesk Attendant,./utils/embeddings/PMKVY_JobRoles/data/Domestic IT Helpdesk Attendant.pt
Draughtsman - Mechanical,./utils/embeddings/PMKVY_JobRoles/data/Draughtsman - Mechanical.pt
Draughtsperson (Interior Design)- Commercial,./utils/embeddings/PMKVY_JobRoles/data/Draughtsperson (Interior Design)- Commercial.pt
Draughtsperson (Interior Design)- Residential and Kitchen,./utils/embeddings/PMKVY_JobRoles/data/Draughtsperson (Interior Design)- Residential and Kitchen.pt
Draw Frame Operator,./utils/embeddings/PMKVY_JobRoles/data/Draw Frame Operator.pt
Drawing & Painting Artist,./utils/embeddings/PMKVY_JobRoles/data/Drawing & Painting Artist.pt
Drive Test Engineer,./utils/embeddings/PMKVY_JobRoles/data/Drive Test Engineer.pt
Drone Developer (Software),./utils/embeddings/PMKVY_JobRoles/data/Drone Developer (Software).pt
Drone Manufacturing and Assembly Technician,./utils/embeddings/PMKVY_JobRoles/data/Drone Manufacturing and Assembly Technician.pt
Drone Monitoring and Maintenance Associate,./utils/embeddings/PMKVY_JobRoles/data/Drone Monitoring and Maintenance Associate.pt
Drone Multi Rotor Opertaor,./utils/embeddings/PMKVY_JobRoles/data/Drone Multi Rotor Opertaor.pt
Drone operator - Over Dimensional Cargo,./utils/embeddings/PMKVY_JobRoles/data/Drone operator - Over Dimensional Cargo.pt
Drone Service Technician,./utils/embeddings/PMKVY_JobRoles/data/Drone Service Technician.pt
DTH Set Top Box Installation and Service Technician,./utils/embeddings/PMKVY_JobRoles/data/DTH Set Top Box Installation and Service Technician.pt
Dumper-Tipper Operator,./utils/embeddings/PMKVY_JobRoles/data/Dumper-Tipper Operator.pt
Dyestuff & Chemical Preparation Operator,./utils/embeddings/PMKVY_JobRoles/data/Dyestuff & Chemical Preparation Operator.pt
Editor,./utils/embeddings/PMKVY_JobRoles/data/Editor.pt
"Effluent Treatment Plant Operator – Life Sciences (Pharma, Bio-Pharma & Research)","./utils/embeddings/PMKVY_JobRoles/data/Effluent Treatment Plant Operator – Life Sciences (Pharma, Bio-Pharma & Research).pt"
Electric Vehicle Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Assembly Operator.pt
Electric Vehicle Assembly Technician,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Assembly Technician.pt
Electric Vehicle Maintenance Technician,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Maintenance Technician.pt
Electric Vehicle Product Design Engineer,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Product Design Engineer.pt
Electric Vehicle Quality Control Inspector,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Quality Control Inspector.pt
Electric Vehicle Service Lead Technician,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Service Lead Technician.pt
Electric Vehicle Service technician,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Service technician.pt
Electric Vehicle Test Engineer,./utils/embeddings/PMKVY_JobRoles/data/Electric Vehicle Test Engineer.pt
Electrical Assembly Operator – Control Panel,./utils/embeddings/PMKVY_JobRoles/data/Electrical Assembly Operator – Control Panel.pt
Electrical Technician,./utils/embeddings/PMKVY_JobRoles/data/Electrical Technician.pt
Electrician - Domestic Solutions,./utils/embeddings/PMKVY_JobRoles/data/Electrician - Domestic Solutions.pt
Electrician,./utils/embeddings/PMKVY_JobRoles/data/Electrician.pt
Electronic Hardware Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Electronic Hardware Assembly Operator.pt
Electronics Machine Maintenance Executive,./utils/embeddings/PMKVY_JobRoles/data/Electronics Machine Maintenance Executive.pt
Embedded Full Stack IoT Analyst,./utils/embeddings/PMKVY_JobRoles/data/Embedded Full Stack IoT Analyst.pt
Embedded Product Design Engineer - Technical Lead,./utils/embeddings/PMKVY_JobRoles/data/Embedded Product Design Engineer - Technical Lead.pt
Embedded Software Engineer,./utils/embeddings/PMKVY_JobRoles/data/Embedded Software Engineer.pt
Emergency Medical Technician-Basic,./utils/embeddings/PMKVY_JobRoles/data/Emergency Medical Technician-Basic.pt
EMS Technician,./utils/embeddings/PMKVY_JobRoles/data/EMS Technician.pt
Engineer-Technical Support(Level 1),./utils/embeddings/PMKVY_JobRoles/data/Engineer-Technical Support(Level 1).pt
Engraving and Stamping Artisan,./utils/embeddings/PMKVY_JobRoles/data/Engraving and Stamping Artisan.pt
Engraving- Carving- Etching Assistant,./utils/embeddings/PMKVY_JobRoles/data/Engraving- Carving- Etching Assistant.pt
EOT Overhead Crane Operator,./utils/embeddings/PMKVY_JobRoles/data/EOT Overhead Crane Operator.pt
Ergonomics Safety Steward,./utils/embeddings/PMKVY_JobRoles/data/Ergonomics Safety Steward.pt
Excavator Operator,./utils/embeddings/PMKVY_JobRoles/data/Excavator Operator.pt
Excavator- Pipeline,./utils/embeddings/PMKVY_JobRoles/data/Excavator- Pipeline.pt
Executive – Secretarial Services,./utils/embeddings/PMKVY_JobRoles/data/Executive – Secretarial Services.pt
Fabric Checker - Textiles,./utils/embeddings/PMKVY_JobRoles/data/Fabric Checker - Textiles.pt
Fabric Mender - Textiles,./utils/embeddings/PMKVY_JobRoles/data/Fabric Mender - Textiles.pt
Fabricator,./utils/embeddings/PMKVY_JobRoles/data/Fabricator.pt
Failure Analysis & Reliability Engineer,./utils/embeddings/PMKVY_JobRoles/data/Failure Analysis & Reliability Engineer.pt
False Ceiling and Drywall Installer,./utils/embeddings/PMKVY_JobRoles/data/False Ceiling and Drywall Installer.pt
Fiber to-the Home (FTTH-X) Installer,./utils/embeddings/PMKVY_JobRoles/data/Fiber to-the Home (FTTH-X) Installer.pt
Field Management Engineer,./utils/embeddings/PMKVY_JobRoles/data/Field Management Engineer.pt
Field Sales Executive,./utils/embeddings/PMKVY_JobRoles/data/Field Sales Executive.pt
Field Survey Enumerator,./utils/embeddings/PMKVY_JobRoles/data/Field Survey Enumerator.pt
Field Technician - Air Conditioner,./utils/embeddings/PMKVY_JobRoles/data/Field Technician - Air Conditioner.pt
Field Technician - Networking & Storage,./utils/embeddings/PMKVY_JobRoles/data/Field Technician - Networking & Storage.pt
Field Technician - Other Home Appliances,./utils/embeddings/PMKVY_JobRoles/data/Field Technician - Other Home Appliances.pt
Field Technician - UPS And Inverter,./utils/embeddings/PMKVY_JobRoles/data/Field Technician - UPS And Inverter.pt
Field Technician Computing and Peripherals,./utils/embeddings/PMKVY_JobRoles/data/Field Technician Computing and Peripherals.pt
Filer and Assembler,./utils/embeddings/PMKVY_JobRoles/data/Filer and Assembler.pt
Finished Package Checker-cum-Packer - Spinning- Yarn Conditioning,./utils/embeddings/PMKVY_JobRoles/data/Finished Package Checker-cum-Packer - Spinning- Yarn Conditioning.pt
Finisher and Packer,./utils/embeddings/PMKVY_JobRoles/data/Finisher and Packer.pt
Fire Safety Technician (Oil & Gas),./utils/embeddings/PMKVY_JobRoles/data/Fire Safety Technician (Oil & Gas).pt
Fish and Seafood Processing Technician,./utils/embeddings/PMKVY_JobRoles/data/Fish and Seafood Processing Technician.pt
Fish Retailer,./utils/embeddings/PMKVY_JobRoles/data/Fish Retailer.pt
Fisheries Extension Associate,./utils/embeddings/PMKVY_JobRoles/data/Fisheries Extension Associate.pt
Fitness Trainer,./utils/embeddings/PMKVY_JobRoles/data/Fitness Trainer.pt
Fitter - Chemical Processing (Textiles),./utils/embeddings/PMKVY_JobRoles/data/Fitter - Chemical Processing (Textiles).pt
Fitter - Fabrication,./utils/embeddings/PMKVY_JobRoles/data/Fitter - Fabrication.pt
Fitter - Post Spinning,./utils/embeddings/PMKVY_JobRoles/data/Fitter - Post Spinning.pt
Fitter - Ring Spinning,./utils/embeddings/PMKVY_JobRoles/data/Fitter - Ring Spinning.pt
Fitter - Shuttleless Weaving Machine- Air-Jet,./utils/embeddings/PMKVY_JobRoles/data/Fitter - Shuttleless Weaving Machine- Air-Jet.pt
Fitter - Shuttleless Weaving Machine- Projectile,./utils/embeddings/PMKVY_JobRoles/data/Fitter - Shuttleless Weaving Machine- Projectile.pt
Fitter Helper - Weaving,./utils/embeddings/PMKVY_JobRoles/data/Fitter Helper - Weaving.pt
Fitter Spinning Preparatory,./utils/embeddings/PMKVY_JobRoles/data/Fitter Spinning Preparatory.pt
Fitter Weaving Preparatory,./utils/embeddings/PMKVY_JobRoles/data/Fitter Weaving Preparatory.pt
Fitter – Electrical and Electronic Assembly,./utils/embeddings/PMKVY_JobRoles/data/Fitter – Electrical and Electronic Assembly.pt
Fitter – Mechanical Assembly,./utils/embeddings/PMKVY_JobRoles/data/Fitter – Mechanical Assembly.pt
Floriculturist,./utils/embeddings/PMKVY_JobRoles/data/Floriculturist.pt
Florist,./utils/embeddings/PMKVY_JobRoles/data/Florist.pt
Food & Beverage Service Assistant,./utils/embeddings/PMKVY_JobRoles/data/Food & Beverage Service Assistant.pt
Food Sales Promoter,./utils/embeddings/PMKVY_JobRoles/data/Food Sales Promoter.pt
Food styling Photographer,./utils/embeddings/PMKVY_JobRoles/data/Food styling Photographer.pt
Forensic Specialist,./utils/embeddings/PMKVY_JobRoles/data/Forensic Specialist.pt
Forest Nursery Raiser,./utils/embeddings/PMKVY_JobRoles/data/Forest Nursery Raiser.pt
Foundation for Pharma sales and Marketing,./utils/embeddings/PMKVY_JobRoles/data/Foundation for Pharma sales and Marketing.pt
Four Wheeler Service Assistant,./utils/embeddings/PMKVY_JobRoles/data/Four Wheeler Service Assistant.pt
Four Wheeler Service Technician,./utils/embeddings/PMKVY_JobRoles/data/Four Wheeler Service Technician.pt
Freshwater Aquaculture Farmer,./utils/embeddings/PMKVY_JobRoles/data/Freshwater Aquaculture Farmer.pt
Fruit Pulp Processing Technician (v3),./utils/embeddings/PMKVY_JobRoles/data/Fruit Pulp Processing Technician (v3).pt
Functional Analyst - TMS,./utils/embeddings/PMKVY_JobRoles/data/Functional Analyst - TMS.pt
Functional Analyst - WMS,./utils/embeddings/PMKVY_JobRoles/data/Functional Analyst - WMS.pt
Fundamentals of Aggregation and Post-Harvest Handling of Farm Produce,./utils/embeddings/PMKVY_JobRoles/data/Fundamentals of Aggregation and Post-Harvest Handling of Farm Produce.pt
Garbhini Rakshaka,./utils/embeddings/PMKVY_JobRoles/data/Garbhini Rakshaka.pt
Gas Meter Reader,./utils/embeddings/PMKVY_JobRoles/data/Gas Meter Reader.pt
Gemstone Final Shaper and Calibrator,./utils/embeddings/PMKVY_JobRoles/data/Gemstone Final Shaper and Calibrator.pt
Gemstone Processor,./utils/embeddings/PMKVY_JobRoles/data/Gemstone Processor.pt
General Duty Assistant,./utils/embeddings/PMKVY_JobRoles/data/General Duty Assistant.pt
General Worker-Rubber Plantation,./utils/embeddings/PMKVY_JobRoles/data/General Worker-Rubber Plantation.pt
Genetic Counselor,./utils/embeddings/PMKVY_JobRoles/data/Genetic Counselor.pt
"Geriatric Caregiver (Institutional & Home Care)- Palliative Care, Dementia Care","./utils/embeddings/PMKVY_JobRoles/data/Geriatric Caregiver (Institutional & Home Care)- Palliative Care, Dementia Care.pt"
Ginning Helper,./utils/embeddings/PMKVY_JobRoles/data/Ginning Helper.pt
Goods Packaging Machine Operator,./utils/embeddings/PMKVY_JobRoles/data/Goods Packaging Machine Operator.pt
Grader (Ribbed smoked sheet Trading),./utils/embeddings/PMKVY_JobRoles/data/Grader (Ribbed smoked sheet Trading).pt
Grain Mill Operator,./utils/embeddings/PMKVY_JobRoles/data/Grain Mill Operator.pt
Graphic Designer,./utils/embeddings/PMKVY_JobRoles/data/Graphic Designer.pt
Grass Root Telecom Provider,./utils/embeddings/PMKVY_JobRoles/data/Grass Root Telecom Provider.pt
Green Hydrogen Plant Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Green Hydrogen Plant Entrepreneur.pt
Green Hydrogen Plant Junior Technician- Desalination,./utils/embeddings/PMKVY_JobRoles/data/Green Hydrogen Plant Junior Technician- Desalination.pt
Green Hydrogen Plant Junior Technician- Electrolyser,./utils/embeddings/PMKVY_JobRoles/data/Green Hydrogen Plant Junior Technician- Electrolyser.pt
Green Hydrogen Plant Junior Technician- Power Sources,./utils/embeddings/PMKVY_JobRoles/data/Green Hydrogen Plant Junior Technician- Power Sources.pt
Green Hydrogen Plant Junior Technician- Storage,./utils/embeddings/PMKVY_JobRoles/data/Green Hydrogen Plant Junior Technician- Storage.pt
Green Hydrogen Plant Technician,./utils/embeddings/PMKVY_JobRoles/data/Green Hydrogen Plant Technician.pt
Greenhouse Operator,./utils/embeddings/PMKVY_JobRoles/data/Greenhouse Operator.pt
Guest Service Associate (Food & Beverage) Barista Executive,./utils/embeddings/PMKVY_JobRoles/data/Guest Service Associate (Food & Beverage) Barista Executive.pt
Guest Service Associate (Food & Beverage) Food & Beverage Service Associate,./utils/embeddings/PMKVY_JobRoles/data/Guest Service Associate (Food & Beverage) Food & Beverage Service Associate.pt
Guest Service Associate (Front Office),./utils/embeddings/PMKVY_JobRoles/data/Guest Service Associate (Front Office).pt
Gym Assistant (B&W),./utils/embeddings/PMKVY_JobRoles/data/Gym Assistant (B&W).pt
Hand Block Printer,./utils/embeddings/PMKVY_JobRoles/data/Hand Block Printer.pt
Hand Crochet Lace Maker,./utils/embeddings/PMKVY_JobRoles/data/Hand Crochet Lace Maker.pt
Hand Embroiderer (Addawala),./utils/embeddings/PMKVY_JobRoles/data/Hand Embroiderer (Addawala).pt
Hand Knitting Machine Operator,./utils/embeddings/PMKVY_JobRoles/data/Hand Knitting Machine Operator.pt
Hand Spinning Operator,./utils/embeddings/PMKVY_JobRoles/data/Hand Spinning Operator.pt
Handheld Devices (Handset & Tablet) Technician,./utils/embeddings/PMKVY_JobRoles/data/Handheld Devices (Handset & Tablet) Technician.pt
Handloom Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Handloom Entrepreneur.pt
Hank Dyer,./utils/embeddings/PMKVY_JobRoles/data/Hank Dyer.pt
Hatchery Operator,./utils/embeddings/PMKVY_JobRoles/data/Hatchery Operator.pt
Healthcare Quality Assurance Manager,./utils/embeddings/PMKVY_JobRoles/data/Healthcare Quality Assurance Manager.pt
Helper -  Utility Hand Plant Operations,./utils/embeddings/PMKVY_JobRoles/data/Helper -  Utility Hand Plant Operations.pt
Helper - Footwear Upper Making,./utils/embeddings/PMKVY_JobRoles/data/Helper - Footwear Upper Making.pt
Helper Bar Bender and Steel Fixer,./utils/embeddings/PMKVY_JobRoles/data/Helper Bar Bender and Steel Fixer.pt
Helper Electrician,./utils/embeddings/PMKVY_JobRoles/data/Helper Electrician.pt
Helper Mason,./utils/embeddings/PMKVY_JobRoles/data/Helper Mason.pt
HEMM Mechanic,./utils/embeddings/PMKVY_JobRoles/data/HEMM Mechanic.pt
Hindi Typist,./utils/embeddings/PMKVY_JobRoles/data/Hindi Typist.pt
HMI-SCADA Programmer and Troubleshooter,./utils/embeddings/PMKVY_JobRoles/data/HMI-SCADA Programmer and Troubleshooter.pt
Hot Mix Plant Operator,./utils/embeddings/PMKVY_JobRoles/data/Hot Mix Plant Operator.pt
House Keeper - Mechanised Equipments,./utils/embeddings/PMKVY_JobRoles/data/House Keeper - Mechanised Equipments.pt
Housekeeping Assistant,./utils/embeddings/PMKVY_JobRoles/data/Housekeeping Assistant.pt
HR Executive - Payroll and Employee Data Management,./utils/embeddings/PMKVY_JobRoles/data/HR Executive - Payroll and Employee Data Management.pt
HVAC Technician,./utils/embeddings/PMKVY_JobRoles/data/HVAC Technician.pt
Hydra Crane Operator,./utils/embeddings/PMKVY_JobRoles/data/Hydra Crane Operator.pt
Hydroponics Technician,./utils/embeddings/PMKVY_JobRoles/data/Hydroponics Technician.pt
Hygiene Coordinator,./utils/embeddings/PMKVY_JobRoles/data/Hygiene Coordinator.pt
IC Package Engineer,./utils/embeddings/PMKVY_JobRoles/data/IC Package Engineer.pt
Ice Cream Processing Technician,./utils/embeddings/PMKVY_JobRoles/data/Ice Cream Processing Technician.pt
Ikkat Artisan,./utils/embeddings/PMKVY_JobRoles/data/Ikkat Artisan.pt
In - Store Demonstrator,./utils/embeddings/PMKVY_JobRoles/data/In - Store Demonstrator.pt
In Store Promoter,./utils/embeddings/PMKVY_JobRoles/data/In Store Promoter.pt
Incoming Materials Inspector - Electronics Items,./utils/embeddings/PMKVY_JobRoles/data/Incoming Materials Inspector - Electronics Items.pt
Industrial Automation Specialist,./utils/embeddings/PMKVY_JobRoles/data/Industrial Automation Specialist.pt
Industrial Automation Technician,./utils/embeddings/PMKVY_JobRoles/data/Industrial Automation Technician.pt
